trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.28003554608324,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,23,11.218365920063299,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,20,16.423868546112626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,10,6.713359681674533,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.04}",25,14,19.48376071869453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,14,8.735038755963554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,20,9.031876232588315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.015625}",35,25,18.418161128391898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,16,26.692139826098245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,11,4.191250945524191,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,13,13.617790561335479,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,6,14.368563029612215,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,6,-11.231414981894012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,11,12.836127059759171,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,18,-28.73888405291958,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",25,20,8.454097218198397,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,13,12.143471707493912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,9,23.98533805348575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,14,22.512975023826655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,14,20.742236427427816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,19,-2.897239380882846,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,-5.230371618530519,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,7,16.170900681940022,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,20,17.90322429289813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,21,18.07514361696019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,15,23.86312538273553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,6.785629128668964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,18,12.11392660568187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,16,16.753190721494015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,11,17.4447088008701,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
