trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-95.69517406524302,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-127.67455104055966,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-36.28812159973443,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-165.12705746454952,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-144.88525997362115,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-49.36057150790595,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-115.61443245729832,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-81.1850141136783,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-164.14056211591418,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-222.21429361746297,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-97.746024865491,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-93.79381938760497,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,3,-63.84277748277092,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-240.25124057339008,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,5,-60.21094094394661,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",25,0,-168.02751450080038,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,7,-39.23736418500399,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-127.40167770729065,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",30,0,-128.32844500344783,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
