trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.75123864238145,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.82481047167269,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.05753787216116,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.74627829587671,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,10,-74.25787102249305,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.47583801187315,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,9,-21.407928708425892,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.041937960988875,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.23970892019679,"{0: 12, 1: 1, 2: 12, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.5292409404139,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.174813924790996,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.402859606522924,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.86177320913197,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.20134671713582,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.41308102705838,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.56929312000661,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.29682895753285,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.82521843699838,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.138883314968986,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.4727610663461,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.626595960575928,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.25569393576356,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.747067840819724,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.97181159795014,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-91.98453278081185,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.06448110776634,"{0: 9, 1: 5, 2: 11, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-62.925044674260796,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-98.59070108603522,"{0: 21, 1: 5, 2: 8, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.60091475782729,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-123.3338186044576,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
